Pest,Season/Month,Location/Region,Crop Stage Affected,Trigger Condition,Severity Level,Notes
Fall Armyworm,March–May,Rift Valley,Silking,Dry spells followed by rainfall,Low,Migrates during dry to wet transitions
Corn Earworm,March–May,Nyanza,Silking,No rotation with legumes or beans,Low,Outbreaks in Kilifi linked to continuous cropping
Fall Armyworm,Oct–Nov,Western Kenya,Silking,Dry spells followed by rainfall,Low,Migrates during dry to wet transitions
Fall Armyworm,Aug–Oct,Coastal,Germination,Delayed weeding and unscouted farms,High,Migrates during dry to wet transitions
Fall Armyworm,March–May,Coastal,Seedling,Heavy vegetative growth during rainy season,High,Rapid larval spread in vegetative phase
Locust,Feb–April,Coastal,Germination,Rains coincided with hopper development,Low,Delayed response worsened outbreak
Locust,Feb–April,Rift Valley,Silking,Breeding triggered by cyclone rains in Somalia,High,Second-gen breeding in Turkana and Marsabit
Corn Earworm,Sept–Dec,Nyanza,Grain filling,Dense weedy fields,High,Pesticide resistance risk
Corn Earworm,Jan–March,ASAL areas,Vegetative,Repeated planting in same zone,Low,Pesticide resistance risk
Locust,Sept–Dec,Nyanza,Germination,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Locust,Sept–Dec,Rift Valley,Seedling,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Corn Earworm,Feb–April,Western Kenya,Tasseling,Monocropping with no IPM,Low,Eggs laid directly on silks
Fall Armyworm,Jan–March,Western Kenya,Tasseling,Warm temperatures with intermittent rain,Medium,Larvae bore into whorl and damage leaves
Corn Earworm,Sept–Dec,Rift Valley,Vegetative,Alternate hosts nearby (e.g. sorghum),Medium,Infestation spreads from alternate hosts
Locust,Jan–March,Rift Valley,Seedling,Delayed aerial spraying during outbreak,High,Eggs laid in sandy soils
Locust,March–May,ASAL areas,Tasseling,Migration from breeding zones,High,Third wave likely if hoppers mature
Fall Armyworm,March–May,Coastal,Germination,Heavy vegetative growth during rainy season,High,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Oct–Nov,Western Kenya,Silking,Dense weedy fields,High,Kernel damage often seen late
Fall Armyworm,Oct–Nov,Nyanza,Vegetative,March–May rains after long dry season,Low,Rapid larval spread in vegetative phase
Corn Earworm,Feb–April,Rift Valley,Maturity,No rotation with legumes or beans,Low,Eggs laid directly on silks
Corn Earworm,Feb–April,Central,Seedling,Repeated planting in same zone,Low,Infestation spreads from alternate hosts
Corn Earworm,Aug–Oct,Coastal,Germination,Silking coinciding with warm spells,Medium,Outbreaks in Kilifi linked to continuous cropping
Fall Armyworm,Jan–March,Eastern,Germination,Heavy vegetative growth during rainy season,High,Rapid larval spread in vegetative phase
Locust,Aug–Oct,ASAL areas,Vegetative,Rains coincided with hopper development,Low,Second-gen breeding in Turkana and Marsabit
Fall Armyworm,Sept–Dec,Western Kenya,Silking,Warm temperatures with intermittent rain,Medium,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Aug–Oct,Western Kenya,Tasseling,Heavy vegetative growth during rainy season,High,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Jan–March,Western Kenya,Seedling,Dry spells followed by rainfall,Low,Moth lays eggs on undersides of leaves
Fall Armyworm,Aug–Oct,Nyanza,Grain filling,Night temps > 18°C and green maize,Low,Moth lays eggs on undersides of leaves
Fall Armyworm,Oct–Nov,ASAL areas,Maturity,Delayed weeding and unscouted farms,High,Rapid larval spread in vegetative phase
Locust,March–May,Eastern,Germination,Delayed aerial spraying during outbreak,High,Eggs laid in sandy soils
Fall Armyworm,Jan–March,Western Kenya,Tasseling,Heavy vegetative growth during rainy season,High,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Aug–Oct,Coastal,Maturity,Humidity and poor air flow in dense fields,High,Outbreaks in Kilifi linked to continuous cropping
Locust,Oct–Nov,Nyanza,Tasseling,Cyclones followed by dry winds,High,Second-gen breeding in Turkana and Marsabit
Corn Earworm,Oct–Nov,Coastal,Grain filling,Dense weedy fields,High,Kernel damage often seen late
Fall Armyworm,March–May,Eastern,Grain filling,Delayed weeding and unscouted farms,High,Eggs often missed in early crop stages
Corn Earworm,March–May,Eastern,Tasseling,Dense weedy fields,High,Larvae feed on silks and kernels
Fall Armyworm,Aug–Oct,Coastal,Vegetative,Presence of alternate hosts,Medium,Moth lays eggs on undersides of leaves
Corn Earworm,Oct–Nov,Central,Tasseling,Warm dry spells after rains,Medium,Pesticide resistance risk
Corn Earworm,Feb–April,Rift Valley,Grain filling,Dense weedy fields,High,Kernel damage often seen late
Locust,Jan–March,ASAL areas,Vegetative,Vegetation boom after rain,High,Eggs laid in sandy soils
Fall Armyworm,March–May,Eastern,Vegetative,Warm temperatures with intermittent rain,Medium,Losses exceeded 40% in some regions
Corn Earworm,Jan–March,Eastern,Germination,Repeated planting in same zone,Low,Kernel damage often seen late
Locust,Sept–Dec,Western Kenya,Tasseling,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Corn Earworm,March–May,Nyanza,Grain filling,Delayed planting,High,"Feeds at night, hides during day"
Fall Armyworm,March–May,Eastern,Grain filling,Warm temperatures with intermittent rain,Medium,Rapid larval spread in vegetative phase
Fall Armyworm,Aug–Oct,Eastern,Tasseling,Heavy vegetative growth during rainy season,High,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Jan–March,Rift Valley,Seedling,Repeated planting in same zone,Low,Pesticide resistance risk
Fall Armyworm,Oct–Nov,Nyanza,Silking,Sowing after extended drought,Low,Losses exceeded 40% in some regions
Fall Armyworm,Aug–Oct,Nyanza,Vegetative,Cloud cover and poor weeding,Low,Rapid larval spread in vegetative phase
Corn Earworm,Oct–Nov,Coastal,Germination,Warm dry spells after rains,Medium,Pesticide resistance risk
Fall Armyworm,Oct–Nov,Rift Valley,Grain filling,March–May rains after long dry season,Low,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Oct–Nov,Central,Seedling,High temp + maize silking,Low,Larvae feed on silks and kernels
Locust,Sept–Dec,Nyanza,Seedling,Breeding triggered by cyclone rains in Somalia,High,Eggs laid in sandy soils
Corn Earworm,March–May,Rift Valley,Silking,No rotation with legumes or beans,Low,Eggs laid directly on silks
Locust,Jan–March,Coastal,Maturity,Unusual wind patterns,Low,Third wave likely if hoppers mature
Locust,Aug–Oct,Coastal,Silking,Cross-border swarm movement,Very High,Delayed response worsened outbreak
Locust,March–May,Coastal,Germination,Delayed aerial spraying during outbreak,High,Delayed response worsened outbreak
Locust,Sept–Dec,Eastern,Tasseling,Rains coincided with hopper development,Low,Swarms fly up to 150km/day
Corn Earworm,Jan–March,Nyanza,Silking,High temp + maize silking,Low,Outbreaks in Kilifi linked to continuous cropping
Locust,Oct–Nov,Nyanza,Germination,Unusual wind patterns,Low,Third wave likely if hoppers mature
Locust,Oct–Nov,Western Kenya,Grain filling,Migration from breeding zones,High,Second-gen breeding in Turkana and Marsabit
Locust,Jan–March,ASAL areas,Grain filling,Unusual wind patterns,Low,High impact on both pasture and crops
Corn Earworm,Sept–Dec,Coastal,Seedling,High temp + maize silking,Low,"Feeds at night, hides during day"
Locust,March–May,ASAL areas,Seedling,Breeding triggered by cyclone rains in Somalia,High,Second-gen breeding in Turkana and Marsabit
Fall Armyworm,Sept–Dec,Nyanza,Seedling,Delayed weeding and unscouted farms,High,Losses exceeded 40% in some regions
Fall Armyworm,Oct–Nov,Eastern,Seedling,Overlapping maize stages in same field,Low,Eggs often missed in early crop stages
Corn Earworm,Aug–Oct,Coastal,Seedling,Repeated planting in same zone,Low,Infestation rises in dry-hot coastal areas
Fall Armyworm,Sept–Dec,Western Kenya,Maturity,Cloud cover and poor weeding,Low,Moth lays eggs on undersides of leaves
Locust,Sept–Dec,Rift Valley,Tasseling,Breeding triggered by cyclone rains in Somalia,High,Swarms fly up to 150km/day
Locust,Aug–Oct,ASAL areas,Seedling,Cyclones followed by dry winds,High,Isiolo and Garissa hit hardest in 2020
Corn Earworm,Sept–Dec,Nyanza,Seedling,Dense weedy fields,High,Larvae feed on silks and kernels
Locust,Aug–Oct,Nyanza,Grain filling,Delayed aerial spraying during outbreak,High,Isiolo and Garissa hit hardest in 2020
Locust,Oct–Nov,Central,Germination,Cross-border swarm movement,Very High,Isiolo and Garissa hit hardest in 2020
Corn Earworm,Feb–April,Nyanza,Vegetative,Warm dry spells after rains,Medium,Pesticide resistance risk
Fall Armyworm,Jan–March,Central,Vegetative,Cloud cover and poor weeding,Low,Moth lays eggs on undersides of leaves
Fall Armyworm,Sept–Dec,Nyanza,Germination,Overlapping maize stages in same field,Low,Infestation reported at 47.3% in 2017 outbreak
Locust,Oct–Nov,Eastern,Germination,Cross-border swarm movement,Very High,Delayed response worsened outbreak
Corn Earworm,March–May,Rift Valley,Vegetative,High temp + maize silking,Low,Infestation spreads from alternate hosts
Fall Armyworm,Aug–Oct,Eastern,Seedling,Delayed weeding and unscouted farms,High,Rapid larval spread in vegetative phase
Fall Armyworm,Aug–Oct,Coastal,Maturity,Warm temperatures with intermittent rain,Medium,Eggs often missed in early crop stages
Fall Armyworm,March–May,ASAL areas,Maturity,Night temps > 18°C and green maize,Low,Moth lays eggs on undersides of leaves
Corn Earworm,March–May,Nyanza,Tasseling,High temp + maize silking,Low,Kernel damage often seen late
Locust,Jan–March,Nyanza,Grain filling,Rains coincided with hopper development,Low,Swarms fly up to 150km/day
Fall Armyworm,March–May,Coastal,Silking,Delayed weeding and unscouted farms,High,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Jan–March,Central,Tasseling,Silking coinciding with warm spells,Medium,Larvae feed on silks and kernels
Locust,March–May,Rift Valley,Silking,Heavy rains in desert areas,High,Eggs laid in sandy soils
Corn Earworm,Oct–Nov,Western Kenya,Silking,Alternate hosts nearby (e.g. sorghum),Medium,Outbreaks in Kilifi linked to continuous cropping
Locust,Sept–Dec,Western Kenya,Vegetative,Breeding triggered by cyclone rains in Somalia,High,Swarms consumed over 100 tons of vegetation per day
Locust,Sept–Dec,ASAL areas,Seedling,Breeding triggered by cyclone rains in Somalia,High,Third wave likely if hoppers mature
Corn Earworm,Oct–Nov,Nyanza,Maturity,Silking coinciding with warm spells,Medium,Outbreaks in Kilifi linked to continuous cropping
Locust,Jan–March,Nyanza,Grain filling,Cyclones followed by dry winds,High,Swarms consumed over 100 tons of vegetation per day
Corn Earworm,Sept–Dec,Rift Valley,Seedling,No rotation with legumes or beans,Low,Larvae feed on silks and kernels
Corn Earworm,Sept–Dec,ASAL areas,Vegetative,Dense weedy fields,High,Kernel damage often seen late
Locust,Feb–April,Eastern,Germination,Breeding triggered by cyclone rains in Somalia,High,Delayed response worsened outbreak
Corn Earworm,Jan–March,ASAL areas,Seedling,Warm dry spells after rains,Medium,Infestation spreads from alternate hosts
Locust,Sept–Dec,ASAL areas,Germination,Vegetation boom after rain,High,Third wave likely if hoppers mature
Locust,Jan–March,ASAL areas,Vegetative,Hoppers matured in dry sandy soils,High,Delayed response worsened outbreak
Locust,March–May,Western Kenya,Tasseling,Cyclones followed by dry winds,High,Second-gen breeding in Turkana and Marsabit
Locust,March–May,Coastal,Tasseling,Cross-border swarm movement,Very High,Swarms fly up to 150km/day
Corn Earworm,Jan–March,Nyanza,Maturity,No rotation with legumes or beans,Low,"Feeds at night, hides during day"
Fall Armyworm,March–May,Central,Seedling,Dry spells followed by rainfall,Low,Rapid larval spread in vegetative phase
Corn Earworm,Aug–Oct,Eastern,Silking,Alternate hosts nearby (e.g. sorghum),Medium,Infestation spreads from alternate hosts
Locust,Aug–Oct,Rift Valley,Silking,Migration from breeding zones,High,Swarms fly up to 150km/day
Locust,March–May,Coastal,Tasseling,Delayed aerial spraying during outbreak,High,High impact on both pasture and crops
Fall Armyworm,Aug–Oct,Coastal,Vegetative,Night temps > 18°C and green maize,Low,Rapid larval spread in vegetative phase
Corn Earworm,March–May,Rift Valley,Germination,Silking coinciding with warm spells,Medium,Infestation spreads from alternate hosts
Locust,Jan–March,Coastal,Seedling,Heavy rains in desert areas,High,Delayed response worsened outbreak
Corn Earworm,Feb–April,ASAL areas,Vegetative,Humidity and poor air flow in dense fields,High,"Feeds at night, hides during day"
Corn Earworm,Oct–Nov,Central,Grain filling,High temp + maize silking,Low,Larvae feed on silks and kernels
Locust,Feb–April,Nyanza,Germination,Hoppers matured in dry sandy soils,High,Swarms consumed over 100 tons of vegetation per day
Corn Earworm,Aug–Oct,Rift Valley,Silking,Humidity and poor air flow in dense fields,High,Infestation spreads from alternate hosts
Corn Earworm,Sept–Dec,Coastal,Seedling,High temp + maize silking,Low,Infestation rises in dry-hot coastal areas
Corn Earworm,Aug–Oct,Western Kenya,Grain filling,Warm dry spells after rains,Medium,Outbreaks in Kilifi linked to continuous cropping
Locust,Feb–April,Eastern,Maturity,Unusual wind patterns,Low,Swarms consumed over 100 tons of vegetation per day
Locust,Sept–Dec,Rift Valley,Seedling,Breeding triggered by cyclone rains in Somalia,High,Delayed response worsened outbreak
Fall Armyworm,Oct–Nov,Western Kenya,Maturity,Overlapping maize stages in same field,Low,Rapid larval spread in vegetative phase
Corn Earworm,Feb–April,Coastal,Germination,Delayed planting,High,Infestation spreads from alternate hosts
Corn Earworm,March–May,Rift Valley,Seedling,Humidity and poor air flow in dense fields,High,Kernel damage often seen late
Fall Armyworm,Sept–Dec,Eastern,Vegetative,March–May rains after long dry season,Low,Migrates during dry to wet transitions
Fall Armyworm,Feb–April,Eastern,Tasseling,Night temps > 18°C and green maize,Low,Migrates during dry to wet transitions
Corn Earworm,Jan–March,Western Kenya,Tasseling,Silking coinciding with warm spells,Medium,Larvae feed on silks and kernels
Fall Armyworm,Jan–March,Eastern,Seedling,March–May rains after long dry season,Low,Eggs often missed in early crop stages
Fall Armyworm,Sept–Dec,ASAL areas,Silking,Cloud cover and poor weeding,Low,Infestation reported at 47.3% in 2017 outbreak
Fall Armyworm,Sept–Dec,Eastern,Tasseling,Heavy vegetative growth during rainy season,High,Eggs often missed in early crop stages
Locust,Feb–April,Western Kenya,Grain filling,Cross-border swarm movement,Very High,High impact on both pasture and crops
Corn Earworm,Jan–March,Rift Valley,Germination,Silking coinciding with warm spells,Medium,Larvae feed on silks and kernels
Fall Armyworm,Oct–Nov,Nyanza,Vegetative,Night temps > 18°C and green maize,Low,Rapid larval spread in vegetative phase
Fall Armyworm,Jan–March,Nyanza,Seedling,Delayed weeding and unscouted farms,High,Migrates during dry to wet transitions
Fall Armyworm,March–May,Rift Valley,Maturity,March–May rains after long dry season,Low,Eggs often missed in early crop stages
Locust,March–May,Eastern,Tasseling,Migration from breeding zones,High,Isiolo and Garissa hit hardest in 2020
Locust,Jan–March,Nyanza,Tasseling,Vegetation boom after rain,High,Swarms consumed over 100 tons of vegetation per day
Locust,Oct–Nov,Coastal,Germination,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Locust,Jan–March,Western Kenya,Tasseling,Heavy rains in desert areas,High,Swarms fly up to 150km/day
Corn Earworm,Aug–Oct,ASAL areas,Maturity,Monocropping with no IPM,Low,Infestation spreads from alternate hosts
Fall Armyworm,Aug–Oct,Central,Seedling,Presence of alternate hosts,Medium,Eggs often missed in early crop stages
Locust,March–May,Rift Valley,Seedling,Breeding triggered by cyclone rains in Somalia,High,Delayed response worsened outbreak
Fall Armyworm,Oct–Nov,Eastern,Seedling,March–May rains after long dry season,Low,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,March–May,Eastern,Seedling,Silking coinciding with warm spells,Medium,Infestation spreads from alternate hosts
Fall Armyworm,Aug–Oct,Rift Valley,Tasseling,Overlapping maize stages in same field,Low,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Sept–Dec,ASAL areas,Germination,Overlapping maize stages in same field,Low,Rapid larval spread in vegetative phase
Fall Armyworm,Oct–Nov,Coastal,Germination,Presence of alternate hosts,Medium,Moth lays eggs on undersides of leaves
Corn Earworm,March–May,Rift Valley,Germination,Repeated planting in same zone,Low,Eggs laid directly on silks
Corn Earworm,March–May,Eastern,Grain filling,Humidity and poor air flow in dense fields,High,Pesticide resistance risk
Fall Armyworm,Jan–March,Rift Valley,Seedling,Delayed weeding and unscouted farms,High,Losses exceeded 40% in some regions
Fall Armyworm,Aug–Oct,Western Kenya,Tasseling,Cloud cover and poor weeding,Low,Larvae bore into whorl and damage leaves
Corn Earworm,Feb–April,Western Kenya,Maturity,Dense weedy fields,High,Outbreaks in Kilifi linked to continuous cropping
Corn Earworm,Sept–Dec,Rift Valley,Seedling,Alternate hosts nearby (e.g. sorghum),Medium,Pesticide resistance risk
Corn Earworm,Oct–Nov,Rift Valley,Seedling,Alternate hosts nearby (e.g. sorghum),Medium,Kernel damage often seen late
Fall Armyworm,March–May,Nyanza,Germination,Heavy vegetative growth during rainy season,High,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Oct–Nov,Central,Vegetative,Overlapping maize stages in same field,Low,Migrates during dry to wet transitions
Locust,Aug–Oct,Coastal,Silking,Cyclones followed by dry winds,High,High impact on both pasture and crops
Fall Armyworm,March–May,Nyanza,Tasseling,Warm temperatures with intermittent rain,Medium,Infestation reported at 47.3% in 2017 outbreak
Fall Armyworm,Aug–Oct,Central,Seedling,Sowing after extended drought,Low,Infestation reported at 47.3% in 2017 outbreak
Fall Armyworm,Aug–Oct,Western Kenya,Tasseling,Delayed weeding and unscouted farms,High,Rapid larval spread in vegetative phase
Corn Earworm,Aug–Oct,Nyanza,Germination,No rotation with legumes or beans,Low,Kernel damage often seen late
Corn Earworm,Aug–Oct,Rift Valley,Grain filling,Humidity and poor air flow in dense fields,High,"Feeds at night, hides during day"
Fall Armyworm,Aug–Oct,Rift Valley,Seedling,Warm temperatures with intermittent rain,Medium,Moth lays eggs on undersides of leaves
Fall Armyworm,Aug–Oct,Rift Valley,Vegetative,Presence of alternate hosts,Medium,Losses exceeded 40% in some regions
Locust,Oct–Nov,ASAL areas,Silking,Cross-border swarm movement,Very High,Swarms fly up to 150km/day
Fall Armyworm,Feb–April,Coastal,Vegetative,Warm temperatures with intermittent rain,Medium,Losses exceeded 40% in some regions
Fall Armyworm,Jan–March,Nyanza,Vegetative,Delayed weeding and unscouted farms,High,Larvae bore into whorl and damage leaves
Fall Armyworm,Oct–Nov,Nyanza,Silking,Night temps > 18°C and green maize,Low,Losses exceeded 40% in some regions
Fall Armyworm,March–May,Western Kenya,Tasseling,Night temps > 18°C and green maize,Low,Eggs often missed in early crop stages
Locust,Sept–Dec,Western Kenya,Silking,Unusual wind patterns,Low,Third wave likely if hoppers mature
Corn Earworm,Oct–Nov,Western Kenya,Vegetative,Monocropping with no IPM,Low,"Feeds at night, hides during day"
Locust,Aug–Oct,Coastal,Grain filling,Delayed aerial spraying during outbreak,High,Eggs laid in sandy soils
Corn Earworm,Aug–Oct,Coastal,Grain filling,Delayed planting,High,Outbreaks in Kilifi linked to continuous cropping
Fall Armyworm,Oct–Nov,ASAL areas,Maturity,Warm temperatures with intermittent rain,Medium,Migrates during dry to wet transitions
Corn Earworm,Jan–March,Rift Valley,Grain filling,Warm dry spells after rains,Medium,Infestation rises in dry-hot coastal areas
Fall Armyworm,March–May,Nyanza,Tasseling,Presence of alternate hosts,Medium,Losses exceeded 40% in some regions
Locust,Sept–Dec,Western Kenya,Vegetative,Breeding triggered by cyclone rains in Somalia,High,Third wave likely if hoppers mature
Corn Earworm,Sept–Dec,Western Kenya,Silking,Silking coinciding with warm spells,Medium,Kernel damage often seen late
Locust,Sept–Dec,Rift Valley,Tasseling,Vegetation boom after rain,High,Third wave likely if hoppers mature
Fall Armyworm,Oct–Nov,ASAL areas,Seedling,Presence of alternate hosts,Medium,Migrates during dry to wet transitions
Locust,Jan–March,Coastal,Silking,Hoppers matured in dry sandy soils,High,Second-gen breeding in Turkana and Marsabit
Corn Earworm,Aug–Oct,ASAL areas,Maturity,Delayed planting,High,Pesticide resistance risk
Fall Armyworm,Feb–April,Coastal,Germination,Presence of alternate hosts,Medium,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Feb–April,Nyanza,Silking,Delayed planting,High,Outbreaks in Kilifi linked to continuous cropping
Fall Armyworm,Aug–Oct,Rift Valley,Germination,Warm temperatures with intermittent rain,Medium,Rapid larval spread in vegetative phase
Corn Earworm,Jan–March,Eastern,Silking,Dense weedy fields,High,Larvae feed on silks and kernels
Locust,March–May,Eastern,Silking,Unusual wind patterns,Low,Second-gen breeding in Turkana and Marsabit
Locust,Jan–March,ASAL areas,Tasseling,Vegetation boom after rain,High,Eggs laid in sandy soils
Fall Armyworm,Sept–Dec,Coastal,Seedling,Night temps > 18°C and green maize,Low,Larvae bore into whorl and damage leaves
Corn Earworm,Feb–April,ASAL areas,Grain filling,Dense weedy fields,High,Infestation spreads from alternate hosts
Locust,Oct–Nov,ASAL areas,Germination,Heavy rains in desert areas,High,Third wave likely if hoppers mature
Fall Armyworm,Sept–Dec,Eastern,Maturity,Presence of alternate hosts,Medium,Moth lays eggs on undersides of leaves
Corn Earworm,Jan–March,Western Kenya,Vegetative,Warm dry spells after rains,Medium,Eggs laid directly on silks
Fall Armyworm,Aug–Oct,Central,Vegetative,Night temps > 18°C and green maize,Low,Losses exceeded 40% in some regions
Locust,Jan–March,Rift Valley,Tasseling,Delayed aerial spraying during outbreak,High,Swarms consumed over 100 tons of vegetation per day
Locust,Sept–Dec,Eastern,Maturity,Delayed aerial spraying during outbreak,High,Third wave likely if hoppers mature
Fall Armyworm,Sept–Dec,Eastern,Seedling,March–May rains after long dry season,Low,Losses exceeded 40% in some regions
Locust,Aug–Oct,Central,Grain filling,Migration from breeding zones,High,High impact on both pasture and crops
Locust,Aug–Oct,Central,Silking,Rains coincided with hopper development,Low,Delayed response worsened outbreak
Fall Armyworm,March–May,ASAL areas,Vegetative,Delayed weeding and unscouted farms,High,Larvae bore into whorl and damage leaves
Locust,Sept–Dec,Eastern,Vegetative,Vegetation boom after rain,High,Third wave likely if hoppers mature
Locust,Feb–April,Coastal,Tasseling,Migration from breeding zones,High,High impact on both pasture and crops
Fall Armyworm,March–May,Nyanza,Germination,Delayed weeding and unscouted farms,High,Larvae bore into whorl and damage leaves
Fall Armyworm,Aug–Oct,Nyanza,Vegetative,Night temps > 18°C and green maize,Low,Larvae bore into whorl and damage leaves
Corn Earworm,Jan–March,Eastern,Silking,Delayed planting,High,Larvae feed on silks and kernels
Corn Earworm,March–May,Eastern,Silking,Dense weedy fields,High,Larvae feed on silks and kernels
Corn Earworm,Sept–Dec,Coastal,Tasseling,Warm dry spells after rains,Medium,Kernel damage often seen late
Fall Armyworm,March–May,Eastern,Vegetative,Overlapping maize stages in same field,Low,Moth lays eggs on undersides of leaves
Fall Armyworm,Oct–Nov,Coastal,Grain filling,March–May rains after long dry season,Low,Larvae bore into whorl and damage leaves
Fall Armyworm,Sept–Dec,Western Kenya,Silking,Dry spells followed by rainfall,Low,Eggs often missed in early crop stages
Corn Earworm,Sept–Dec,ASAL areas,Tasseling,Delayed planting,High,Infestation rises in dry-hot coastal areas
Locust,Oct–Nov,Eastern,Silking,Cross-border swarm movement,Very High,Swarms consumed over 100 tons of vegetation per day
Fall Armyworm,March–May,Coastal,Maturity,Warm temperatures with intermittent rain,Medium,"Preferred cool, cloudy environments in outbreak year"
Fall Armyworm,Aug–Oct,Central,Tasseling,Presence of alternate hosts,Medium,Infestation reported at 47.3% in 2017 outbreak
Fall Armyworm,Aug–Oct,Western Kenya,Seedling,Delayed weeding and unscouted farms,High,Moth lays eggs on undersides of leaves
Fall Armyworm,Oct–Nov,ASAL areas,Germination,March–May rains after long dry season,Low,"Preferred cool, cloudy environments in outbreak year"
Corn Earworm,Jan–March,ASAL areas,Grain filling,Warm dry spells after rains,Medium,Eggs laid directly on silks
Corn Earworm,Jan–March,Eastern,Grain filling,No rotation with legumes or beans,Low,Outbreaks in Kilifi linked to continuous cropping
Locust,Sept–Dec,Rift Valley,Germination,Delayed aerial spraying during outbreak,High,Second-gen breeding in Turkana and Marsabit
